genre_id,movie_id
17,1731141
5,1731141
17,337978
1,337978
9,337978
17,120737
1,120737
10,120737
7,120737
18,248667
10,248667
26,248667
1,312528
15,312528
3,312528
7,312528
17,343818
20,343818
5,343818
9,343818
17,320661
1,320661
10,320661
11,320661
2,320661
1,164912
15,164912
3,164912
7,164912
8,780521
3,780521
7,780521
19,780521
12,780521
1,3659388
10,3659388
5,3659388
15,1869849
15,141907
12,141907
17,187078
6,187078
9,187078
17,172495
10,172495
12,172495
17,181689
20,181689
5,181689
9,181689
1,295297
3,295297
7,295297
20,295297
17,103064
5,103064
18,1152836
6,1152836
10,1152836
11,1152836
12,1152836
18,765429
6,765429
10,765429
17,111503
15,111503
9,111503
17,1111422
6,1111422
9,1111422
15,970866
12,970866
17,1386588
15,1386588
6,1386588
17,116213
10,116213
20,116213
9,116213
10,1853728
23,1853728
8,116583
10,116583
3,116583
19,116583
12,116583
1,120917
8,120917
15,120917
3,120917
7,120917
17,1764651
1,1764651
9,1764651
17,368891
1,368891
15,368891
3,368891
20,368891
17,449010
1,449010
3,449010
7,449010
1,386117
10,386117
3,386117
7,386117
1,848537
8,848537
3,848537
7,848537
17,146675
7,146675
4,146675
20,146675
1,450259
10,450259
9,450259
18,993846
15,993846
6,993846
10,993846
17,112462
1,112462
7,112462
17,120201
5,120201
2,120201
10,1371111
5,1371111
17,1219342
1,1219342
8,1219342
3,1219342
7,1219342
17,327554
6,327554
7,327554
12,327554
9,327554
1,133240
8,133240
3,133240
5,133240
1,457400
15,457400
5,457400
17,2333784
1,2333784
9,2333784
15,362165
3,362165
7,362165
17,1390411
1,1390411
18,1390411
10,1390411
11,1390411
9,1390411
17,180052
15,180052
5,180052
17,947810
10,947810
9,947810
2,947810
1,2452042
8,2452042
15,2452042
3,2452042
10,120176
20,120176
9,120176
17,209163
1,209163
7,209163
9,209163
6,217505
10,217505
10,1410063
11,1410063
12,1410063
2,1410063
8,423294
15,423294
3,423294
26,423294
15,327162
5,327162
9,327162
10,265086
11,265086
2,265086
