actor_id,movie_id
3677,1815862
2620,130623
5739,130623
4471,130623
1649,1680310
1930,1680310
1355,1680310
6043,2692250
262,2692250
537,2692250
988,1001526
2050,1001526
2323,1001526
3485,241527
2232,241527
5939,241527
595,790736
1637,790736
4032,790736
94,4262980
5895,4262980
3735,4262980
5601,325980
1423,325980
2192,325980
1153,1571403
1930,1571403
813,1571403
10,1951265
5798,1951265
3395,1951265
5063,382625
4572,382625
3782,382625
165,2357291
5524,2357291
6081,2357291
1241,290334
4619,290334
4360,290334
2638,1596343
2967,1596343
6011,1596343
1955,1515091
414,1515091
2729,1515091
6119,120657
14,120657
5416,120657
5389,1194173
3821,1194173
126,1194173
5015,118688
2654,118688
5712,118688
3406,170016
4568,170016
2330,170016
4608,319262
5218,319262
4620,319262
2464,120755
728,120755
2865,120755
2026,177971
4004,177971
2840,177971
1112,486576
3930,486576
2177,486576
3919,454876
1372,454876
3231,454876
328,259324
2906,259324
2742,259324
2945,4196776
3678,4196776
3285,4196776
5130,305357
4020,305357
1400,305357
5891,1446714
4591,1446714
213,1446714
4628,243585
1475,243585
4781,243585
821,1535108
3678,1535108
4668,1535108
466,296572
2638,296572
5643,296572
3732,811080
2851,811080
5442,811080
3155,1341188
2241,1341188
2995,1341188
4612,1013743
728,1013743
2533,1013743
728,1483013
2429,1483013
2778,1483013
447,121766
4112,121766
198,121766
447,121765
4112,121765
198,121765
2525,198781
2163,198781
3225,198781
3045,1430132
4619,1430132
6181,1430132
1767,120915
4112,120915
4433,120915
5079,481499
1637,481499
2906,481499
2084,463872
3649,463872
1255,463872
2337,245562
2906,245562
2902,245562
816,2381991
3769,2381991
5891,2381991
1303,1454468
4642,1454468
1663,1454468
3966,118928
28,118928
5699,118928
5847,3949660
2437,3949660
4628,3949660
6043,477347
262,477347
537,477347
1112,2126355
6011,2126355
1038,2126355
2558,120347
1243,120347
3147,120347
2942,187393
5751,187393
2078,187393
2909,349903
988,349903
2227,349903
3081,356910
988,356910
4318,356910
4564,2908446
6159,2908446
3505,2908446
2792,338751
4346,338751
6218,338751
3861,1320261
562,1320261
6107,1320261
2078,990407
4627,990407
103,990407
3876,84967
5438,84967
2482,84967
3148,1253863
5938,1253863
5327,1253863
4356,472181
4902,472181
1901,472181
1729,299172
2163,299172
4205,299172
4564,3410834
1971,3410834
5332,3410834
4854,433035
4619,433035
3141,433035
5920,2017020
4080,2017020
77,2017020
2498,120179
5469,120179
4418,120179
1412,1731141
6106,1731141
417,1731141
5321,337978
3329,337978
66,337978
5601,120737
447,120737
3789,120737
527,248667
3863,248667
4458,248667
2450,312528
2048,312528
3943,312528
3039,343818
3863,343818
421,343818
5601,320661
1767,320661
154,320661
1475,164912
3005,164912
1918,164912
6093,780521
4085,780521
4197,780521
5474,3659388
3678,3659388
1128,3659388
1618,1869849
1995,141907
1973,141907
1170,141907
3081,187078
2906,187078
2290,187078
1435,172495
3551,172495
6172,172495
5876,181689
728,181689
3625,181689
1930,295297
2232,295297
4086,295297
6130,103064
4458,103064
2879,103064
2314,1152836
1423,1152836
4645,1152836
985,765429
2197,765429
4648,765429
3582,111503
4090,111503
2776,111503
1773,1111422
2197,1111422
2108,1111422
3762,970866
4771,970866
2576,970866
2323,1386588
6011,1386588
580,1386588
3225,116213
1761,116213
2939,116213
4627,1853728
4346,1853728
3285,1853728
3355,116583
4020,116583
2831,116583
5565,120917
4052,120917
1231,120917
1154,1764651
5616,1764651
3329,1764651
4778,368891
2906,368891
686,368891
195,449010
3551,449010
254,449010
6225,386117
966,386117
3571,386117
1046,848537
3395,848537
4561,848537
2208,146675
1093,146675
6036,146675
3551,450259
4346,450259
1442,450259
5394,993846
4346,993846
1454,993846
117,112462
2654,112462
5131,112462
496,120201
1808,120201
3368,120201
359,1371111
4572,1371111
1757,1371111
2865,1219342
7,1219342
4683,1219342
1177,327554
6218,327554
4922,327554
3648,133240
635,133240
5487,133240
4734,457400
2323,457400
1293,457400
1154,2333784
5616,2333784
6106,2333784
6030,362165
79,362165
4819,362165
193,1390411
3769,1390411
5880,1390411
1134,180052
6038,180052
5770,180052
4343,947810
3678,947810
3423,947810
5144,2452042
2045,2452042
5158,2452042
69,120176
6096,120176
4489,120176
5077,209163
6011,209163
4108,209163
1767,217505
